subplot,plot,INDEX,date,VI,filename
ET2,ET,NDVI,2013-02-15,0.11902749091386795,NDVI_2013-02-15.tif
5P5,5P,NDVI,2013-02-15,0.10852598718234471,NDVI_2013-02-15.tif
5P1,5P,NDVI,2013-02-15,0.11419715909730821,NDVI_2013-02-15.tif
5P2,5P,NDVI,2013-02-15,0.11113170612799494,NDVI_2013-02-15.tif
ET1,ET,NDVI,2013-02-15,0.11447309473386177,NDVI_2013-02-15.tif
5P3,5P,NDVI,2013-02-15,0.11397892298797767,NDVI_2013-02-15.tif
5P4,5P,NDVI,2013-02-15,0.10714462399482727,NDVI_2013-02-15.tif
BB4,BB,NDVI,2013-02-15,0.10371277437490575,NDVI_2013-02-15.tif
BB3,BB,NDVI,2013-02-15,0.11222139885649085,NDVI_2013-02-15.tif
BB2,BB,NDVI,2013-02-15,0.1058599515394731,NDVI_2013-02-15.tif
BB1,BB,NDVI,2013-02-15,0.1179246640075808,NDVI_2013-02-15.tif
ST1,ST,NDVI,2013-02-15,0.11597081497311593,NDVI_2013-02-15.tif
ET2,ET,NDVI,2011-02-14,0.10029046336809794,NDVI_2011-02-14.tif
5P5,5P,NDVI,2011-02-14,0.082656210022313256,NDVI_2011-02-14.tif
5P1,5P,NDVI,2011-02-14,0.10188933071636018,NDVI_2011-02-14.tif
5P2,5P,NDVI,2011-02-14,0.093895074176160914,NDVI_2011-02-14.tif
ET1,ET,NDVI,2011-02-14,0.097860578734141127,NDVI_2011-02-14.tif
5P3,5P,NDVI,2011-02-14,0.099855907261371613,NDVI_2011-02-14.tif
5P4,5P,NDVI,2011-02-14,0.082496907562017441,NDVI_2011-02-14.tif
BB4,BB,NDVI,2011-02-14,0.085535056450787711,NDVI_2011-02-14.tif
BB3,BB,NDVI,2011-02-14,0.094963937997817993,NDVI_2011-02-14.tif
BB2,BB,NDVI,2011-02-14,0.092216960408470841,NDVI_2011-02-14.tif
BB1,BB,NDVI,2011-02-14,0.1031192822948746,NDVI_2011-02-14.tif
ST1,ST,NDVI,2011-02-14,0.10060550346970558,NDVI_2011-02-14.tif
ET2,ET,NDRE,2009-09-23,0.046948162528375782,NDRE_2009-09-23.tif
5P5,5P,NDRE,2009-09-23,0.034162086567708423,NDRE_2009-09-23.tif
5P1,5P,NDRE,2009-09-23,0.028176520119554231,NDRE_2009-09-23.tif
5P2,5P,NDRE,2009-09-23,0.019707728851292478,NDRE_2009-09-23.tif
ET1,ET,NDRE,2009-09-23,0.039036705516851865,NDRE_2009-09-23.tif
5P3,5P,NDRE,2009-09-23,0.027930538441675406,NDRE_2009-09-23.tif
5P4,5P,NDRE,2009-09-23,0.046854301355779171,NDRE_2009-09-23.tif
BB4,BB,NDRE,2009-09-23,0.040465260143665707,NDRE_2009-09-23.tif
BB3,BB,NDRE,2009-09-23,0.03861277224496007,NDRE_2009-09-23.tif
BB2,BB,NDRE,2009-09-23,0.033970624758777296,NDRE_2009-09-23.tif
BB1,BB,NDRE,2009-09-23,0.039540604647734894,NDRE_2009-09-23.tif
ST1,ST,NDRE,2009-09-23,0.034707767833606337,NDRE_2009-09-23.tif
ET2,ET,NDVI,2012-08-20,0.11302409619092942,NDVI_2012-08-20.tif
5P5,5P,NDVI,2012-08-20,0.15621985282216752,NDVI_2012-08-20.tif
5P1,5P,NDVI,2012-08-20,0.11916752124116534,NDVI_2012-08-20.tif
5P2,5P,NDVI,2012-08-20,0.12285061023737255,NDVI_2012-08-20.tif
ET1,ET,NDVI,2012-08-20,0.10656292908466779,NDVI_2012-08-20.tif
5P3,5P,NDVI,2012-08-20,0.12572776712477207,NDVI_2012-08-20.tif
5P4,5P,NDVI,2012-08-20,0.14690782502293587,NDVI_2012-08-20.tif
BB4,BB,NDVI,2012-08-20,0.12854982649578767,NDVI_2012-08-20.tif
BB3,BB,NDVI,2012-08-20,0.10754234623163939,NDVI_2012-08-20.tif
BB2,BB,NDVI,2012-08-20,0.080118329348889267,NDVI_2012-08-20.tif
BB1,BB,NDVI,2012-08-20,0.13391925686079523,NDVI_2012-08-20.tif
ST1,ST,NDVI,2012-08-20,0.099119452387094492,NDVI_2012-08-20.tif
ET2,ET,NDRE,2011-05-08,-0.026477148259679475,NDRE_2011-05-08.tif
5P5,5P,NDRE,2011-05-08,-0.024922435038856099,NDRE_2011-05-08.tif
5P1,5P,NDRE,2011-05-08,-0.016073972363734527,NDRE_2011-05-08.tif
5P2,5P,NDRE,2011-05-08,-0.014815851947978922,NDRE_2011-05-08.tif
ET1,ET,NDRE,2011-05-08,-0.025569464187495984,NDRE_2011-05-08.tif
5P3,5P,NDRE,2011-05-08,-0.017748705208456766,NDRE_2011-05-08.tif
5P4,5P,NDRE,2011-05-08,-0.029312476981431246,NDRE_2011-05-08.tif
BB4,BB,NDRE,2011-05-08,-0.016733150353983921,NDRE_2011-05-08.tif
BB3,BB,NDRE,2011-05-08,-0.017084927247196902,NDRE_2011-05-08.tif
BB2,BB,NDRE,2011-05-08,-0.018009013909084551,NDRE_2011-05-08.tif
BB1,BB,NDRE,2011-05-08,-0.012428968021160235,NDRE_2011-05-08.tif
ST1,ST,NDRE,2011-05-08,-0.019297394889872522,NDRE_2011-05-08.tif
ET2,ET,NDRE,2010-07-12,-0.056015219166874887,NDRE_2010-07-12.tif
5P5,5P,NDRE,2010-07-12,-0.063347351338182173,NDRE_2010-07-12.tif
5P1,5P,NDRE,2010-07-12,-0.049165400099896249,NDRE_2010-07-12.tif
5P2,5P,NDRE,2010-07-12,-0.052368273321343098,NDRE_2010-07-12.tif
ET1,ET,NDRE,2010-07-12,-0.062313159211323813,NDRE_2010-07-12.tif
5P3,5P,NDRE,2010-07-12,-0.058605357383688293,NDRE_2010-07-12.tif
5P4,5P,NDRE,2010-07-12,-0.073699561879038811,NDRE_2010-07-12.tif
BB4,BB,NDRE,2010-07-12,-0.055008152609362322,NDRE_2010-07-12.tif
BB3,BB,NDRE,2010-07-12,-0.045156155829317868,NDRE_2010-07-12.tif
BB2,BB,NDRE,2010-07-12,-0.056212840093807739,NDRE_2010-07-12.tif
BB1,BB,NDRE,2010-07-12,-0.055512971852136696,NDRE_2010-07-12.tif
ST1,ST,NDRE,2010-07-12,-0.044890945963561538,NDRE_2010-07-12.tif
ET2,ET,NDRE,2011-02-14,0.015881448906535905,NDRE_2011-02-14.tif
