SITE,YEAR,,GPP,PRECIP,RE,TA
Ses,2010,6,11.581473555648,28.448,9.746628462935998,25.40723611111111
Ses,2010,7,23.07957157008,40.386,20.702193768288,24.625537634408598
Ses,2010,8,26.644516544160005,19.558,18.170022529799994,24.015288978494624
Ses,2010,9,10.309315765464,18.796,8.643607601759998,22.659618055555555
Ses,2010,10,10.321053386255999,15.748,5.02607632608,15.443061827956992
Ses,2010,11,6.836198956488,0.0,2.96843071032,6.7275138888888915
Ses,2010,12,4.3421928498,5.334,2.7615237540335995,5.4918212365591375
Ses,2011,1,2.162024862192,0.0,5.180570308800001,1.218607012125372
Ses,2011,2,1.8994664643839998,0.254,3.8495616955920013,3.6030672395833365
Ses,2011,3,3.1285934620560005,0.508,1.956257267328,12.436915322580646
Ses,2011,4,6.278896828540799,1.016,1.7220859288559998,15.699715277777775
Ses,2011,5,9.537949249631998,0.0,0.5988022893359999,17.92239247311828
Ses,2011,6,7.837987845023999,0.0,1.0560874269311997,26.08627289583334
Ses,2011,7,4.325537957040001,42.164,14.976299099448,26.471833111559132
Ses,2011,8,4.48852447872,4.064,18.058050126719994,25.87040994623656
Ses,2011,9,6.355714181040001,2.54,7.866820532232,20.3834789375
Ses,2011,10,5.453008888103999,12.954,4.54009121712,14.58630858198925
Ses,2011,11,4.258117832759999,24.130000000000003,1.314945990504,7.716375000000004
Ses,2011,12,3.07341504144,35.559999999999995,12.907732716144,-0.9170662836021505
Ses,2012,1,1.8017079316272,7.3660000000000005,3.2097005157600007,4.137311778197209
Ses,2012,2,3.4769313565776,1.524,2.32232920128,4.986451149425288
Ses,2012,3,5.469745805784,0.254,2.28587879736,10.622468461021514
Ses,2012,4,9.95246222832,26.162000000000003,5.792108776560001,15.929865875000008
Ses,2012,5,15.374082046319998,0.762,5.190613889759998,20.260439825268815
Ses,2012,6,7.409888028935998,1.524,2.40117244344,27.0333588125
Ses,2012,7,20.355751303919998,51.815999999999995,21.678457979592004,25.24868342069893
Ses,2012,8,10.525899465503999,9.398,6.060411328031999,25.149952956989253
Ses,2012,9,6.584920768152001,18.796,5.921181399599998,20.93187576388889
Ses,2012,10,4.597063193844,0.0,0.8323995067200002,16.13612231182796
Ses,2012,11,2.40009914916,1.778,1.3132918869120003,9.494629819444443
Ses,2012,12,3.3308491615200007,9.652000000000001,2.713437184824,2.689747849462362
Ses,2013,1,1.7480256710400002,1.524,8.69507963064,0.18102234543010778
Ses,2013,2,2.5813483526232006,4.8260000000000005,3.90614932008,3.472205394345238
Ses,2013,3,3.0159131230799994,2.7939999999999996,2.6437650175440006,11.152688172043007
Ses,2013,4,4.86967528152,4.318,2.1177056698559995,15.024027777777771
Ses,2013,5,4.6396164635999995,1.016,2.0470306158719995,19.579791666666665
Ses,2013,6,4.349173078800001,7.366,3.50266380192,27.03433333333333
Ses,2013,7,17.368144444080002,96.266,26.994902795280005,24.002641129032277
Ses,2013,8,50.77984847760001,20.32,27.176781355200003,23.719401881720426
Ses,2013,9,46.54239483888,88.89999999999999,29.951782054560006,20.50654861111111
Ses,2013,10,28.146546811439993,7.366,12.166793438400001,13.41782258064516
Ses,2013,11,7.455718247760001,8.128,6.8416383132,7.049347222222222
Ses,2013,12,3.4535224041840005,6.35,6.37596063216,2.022165376344088
Vcm,2007,1,3.488303296799999,0.0,12.057238049183999,-5.184429963824067
Vcm,2007,2,3.174092657855999,0.0,17.090235448559998,-3.811540848214283
Vcm,2007,3,13.417469379288,0.0,12.042493862399997,0.9745286357526892
Vcm,2007,4,39.79006898544,0.0,11.61086351832,2.703401791666666
Vcm,2007,5,69.15901120272001,0.0,19.940371991999996,6.5209493413978485
Vcm,2007,6,70.56577733760001,0.0,44.29712342160001,13.293277291666664
