Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2014,PIED,2.25,0,0,0,0,0,0,0.9,Y,,
PJC,2014,PIED,2.25,1.7,1.8,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.3,2,2.3,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.3,1.9,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,0.7,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,1.4,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,3,N,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,0.3,N,,
PJC,2014,PIED,2.3,2.3,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.3,2,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,2.5,Y,,
PJC,2014,PIED,2.3,0,0,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,0.7,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.3,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.1,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.9,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,0.9,N,,
PJC,2015,PIED,2.3,2.3,1.5,0,0,0,0,1.7,Y,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.6,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.2,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.5,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,0.7,Y,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,2,N,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,2.2,Y,,
PJC,2015,PIED,2.3,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.35,0,0,0,0,0,0,0.3,N,,
PJC,2014,PIED,2.35,0,0,0,0,0,0,1.5,Y,,
