BM_vol,BM_vol_dens,BM_vol_dens_sd,BM_vol_sd,ESD_vol,ESD_vol_dens,ESD_vol_dens_sd,ESD_vol_sd,region
200.2483189323,228.212620437,32.9925398421,31.3523618014,46.1344689506,49.0679344818,2.9585725271,3.2171559197,7753
200.9332081686,229.3539422406,35.823482864,51.9045498059,44.4013870844,47.6957609837,3.5304828591,5.9922531939,10430
105.2566172675,221.7637840258,16.9857220552,26.0228399513,34.7568388532,47.7799087882,1.6304963151,3.9454109104,15795
163.3907965955,236.6882338103,25.3124143389,31.0291548475,40.6209584384,48.8458514365,2.3875410841,3.9353420232,19615
134.1057332901,219.3401983695,24.5933969196,32.1784571901,37.8177941203,47.8920845347,2.8066334343,4.221977513,42975
150.8026768595,245.618963097,30.7912094936,35.9840467038,39.5642832424,48.5640649931,3.8823364971,4.1756519322,8526
109.9630551799,209.9151753218,24.3603067432,27.7761885865,32.6656601669,46.4635484831,2.6222289859,4.4187369375,5720
282.8607733352,284.7078076438,25.4582451281,38.7328662847,54.2072812109,54.7000186643,2.8614962602,3.4545953601,5564
132.9776344666,200.4501330977,28.6832080433,19.5362384301,36.2998374033,46.15152471,3.2936864686,2.6511577488,11691
156.7350757573,203.7082702401,33.0554243899,40.0323888541,38.0005881519,45.3894169878,3.5603409113,4.7673395098,9733
132.4764998991,218.1835630915,30.1048911964,27.0231760211,37.1161763541,48.0413714566,3.0902258261,3.5313257277,8250
138.5728113028,208.6007719733,33.9478549417,31.998222205,36.6862590092,45.0115397913,3.9208074387,4.5137824887,9800
140.8777108768,227.6568810544,28.7506795959,24.3282733122,38.4042353931,48.3089453737,2.9507667095,3.2362413033,3110
137.1615554696,180.0704369758,46.723970323,29.1904938883,36.3359665945,43.9812568262,4.8141772693,4.3706688957,16439
274.4297845691,249.0851094354,32.9963048769,41.9456701785,53.1726297323,50.87622596,3.9511609963,4.078265336,5265
171.7299504195,237.9040088233,33.567241199,35.5339304351,41.1112269574,49.912174925,4.1673575283,4.1299068832,9132
96.2759998857,240.3183293625,29.0406989513,20.1857896083,33.1735708873,49.6522022728,2.6785983664,3.5318767514,36756
130.1816650453,197.6547146597,33.3248717669,33.6716716143,37.9196400293,45.1968944936,3.0249663374,4.207362595,10652
123.5632587899,201.1915487547,24.2590017095,36.0743737863,37.3892026805,44.9462662479,3.0043194234,4.9916150078,3850
144.1160516741,217.353809745,31.8068225835,29.2423737143,38.3561456071,47.4770778984,3.5095636864,4.9503094785,11476
153.9439336047,214.1005278893,27.0976929243,35.0737708079,39.8285913116,47.3071202707,3.6369955533,4.6947678711,5177
153.9775970308,216.1797084963,30.0867059806,35.2341467715,39.0930220723,46.0308060842,3.7291651441,4.1720854444,3929
163.3471955647,243.4261133488,50.2865161609,31.481939425,40.9080358527,49.4625087872,4.3810896762,3.6359467487,5066
114.8701982406,197.6136365588,32.4554102689,17.195131653,34.6101101628,45.1890220917,3.9236578862,2.7067285274,33686
126.3360125254,213.115192994,15.3246347631,30.830171365,36.1055647788,47.17762467,1.7371339838,4.2126408193,8346
121.3110460041,210.4704910104,27.8733811175,26.6819363906,36.8938910157,46.8875026217,3.0721470975,4.0917098407,11664
121.286541682,202.9059347749,34.8128924978,27.435777591,36.0682007843,45.9185272618,3.9967619729,3.9278758148,16721
138.6721975846,202.5998972856,31.6347632769,13.4167377127,37.0321898753,46.2172158469,3.5283366447,2.9104297388,14140
155.6312994726,210.5202581615,39.6466353843,40.4473212751,39.6437473167,47.1783444556,4.1820477938,4.8468082605,7482
114.4091571469,187.7892240028,33.4834284932,14.9074786246,35.1573441347,44.6007014526,4.372012264,2.5403194979,44912
111.5534679309,209.1341593312,44.0865475688,31.4081786467,35.3356285151,45.5214388553,3.9235359008,4.3736077967,12024
134.6218688595,209.1716222641,32.4746355079,38.7665838861,37.1557653211,45.7449632036,3.1563213978,4.6854641913,15275
197.1086638297,273.4355293808,20.5037315545,19.057539734,45.1518795502,51.7075962234,3.0946383805,2.1400691158,18986
138.7425403896,235.1279770142,21.2880868204,20.6508748887,37.3013087553,49.0521295514,2.5747854923,2.9483345295,7610
281.2033582534,239.0782325077,29.9865956058,42.1341788353,53.6241082813,50.1224319045,3.4095152583,4.0054114841,14142
146.9365314466,193.4928608356,23.6839289534,28.9811608484,38.6720623957,45.9026173858,2.9622977608,3.3163528163,9246
140.4603106187,191.4312452256,28.932876006,22.6558294649,38.6362589723,45.0460673848,3.2803929788,2.8835804553,3985
121.8550945045,176.2879588329,32.0835150812,34.1768416514,36.3920493598,43.4035670624,3.5313634154,5.5987733084,28694
130.4632000992,207.6329282006,32.2752560271,25.6562307307,36.5212384689,46.0718838849,4.1595900291,4.2187678543,24320
137.8355697582,223.5737548879,30.9482055135,35.9546685097,37.0087561305,46.6574246371,4.0726038765,4.1045431844,45027
137.5252815381,197.4144823084,22.6232002737,17.2150423441,37.8578733944,45.6262745627,2.9818864558,2.8002751051,15331
158.6322492267,202.7961013931,33.7248383312,32.5481798336,39.7757634359,46.3594507423,3.5322188831,3.7433517551,4995
127.8582041497,201.2049621155,19.3058422843,32.4238512882,36.3076314779,45.8446515367,2.1978428247,4.8577156315,9403
